IMPLEMENTATION,NUM_THREADS,TIME(s)
OMP,1,2.05586
OMP,1,1.98625
OMP,1,2.41892
OMP,1,2.06017
OMP,1,2.10247
OMP,2,1.06402
OMP,2,1.15473
OMP,2,1.20638
OMP,2,1.06967
OMP,2,1.17941
OMP,4,0.629497
OMP,4,0.638186
OMP,4,0.592676
OMP,4,0.596538
OMP,4,0.638859
OMP,8,0.55371
OMP,8,0.558972
OMP,8,0.563489
OMP,8,0.565319
OMP,8,0.559762
OMP,12,0.350965
OMP,12,0.357673
OMP,12,0.350327
OMP,12,0.353937
OMP,12,0.353613
OMP,16,1.08598
OMP,16,1.09761
OMP,16,1.10088
OMP,16,1.30279
OMP,16,1.28194
pthreads,1,2.46081
pthreads,1,2.44517
pthreads,1,2.43662
pthreads,1,2.4377
pthreads,1,2.46204
pthreads,2,1.39626
pthreads,2,1.40586
pthreads,2,1.41175
pthreads,2,1.42806
pthreads,2,1.4312
pthreads,4,1.1314
pthreads,4,1.12118
pthreads,4,1.12033
pthreads,4,1.12452
pthreads,4,1.27072
pthreads,8,2.15207
pthreads,8,1.83567
pthreads,8,1.85265
pthreads,8,1.88288
pthreads,8,1.88857
pthreads,12,2.56436
pthreads,12,2.62817
pthreads,12,2.83439
pthreads,12,2.7579
pthreads,12,2.76935
pthreads,16,3.96537
pthreads,16,4.21054
pthreads,16,3.88478
pthreads,16,3.88293
pthreads,16,3.85009
sequential,1,2.17064
sequential,1,2.07979
sequential,1,2.36381
sequential,1,2.47394
sequential,1,2.30457
